y,DT,TN,SPT,GTC,GD,TCH,GT,DV,VPCT,LS
0,70,110,2,0,9,25,1,0,0,0
1,56,150,3,100,12,24,0,0,0,1
1,95,163,2,100,7,40,1,0,1,0
1,65,150,2,300,12,36,0,1,1,1
1,102,445,3,800,12,44,0,0,0,1
1,73,325,1,260,10,47,0,0,0,0
1,74,294,4,400,14,56,0,1,1,1
1,56,213,1,250,12,35,0,0,0,0
0,17,70,0,0,5,27,1,0,1,0
0,95,80,1,0,8,29,1,1,0,0
1,65,375,2,330,9,33,0,0,0,1
0,102,145,0,0,9,45,1,0,1,0
0,45,67,2,0,12,36,0,0,0,0
1,94,165,2,180,12,45,1,1,0,1
1,95,255,2,180,10,35,0,0,0,1
1,95,350,4,180,12,52,0,0,1,0
0,65,165,3,0,8,23,0,1,1,0
0,102,70,1,0,11,26,0,0,1,0
0,48,100,2,0,8,42,0,0,1,0
0,16,90,1,0,7,31,0,1,1,1
1,84,215,0,120,14,24,1,0,0,1
0,95,60,0,0,10,28,0,0,1,1
1,65,255,1,190,12,34,0,0,1,0
0,102,105,1,60,9,33,0,0,1,0
1,24,285,3,170,12,38,1,0,1,0
0,56,170,2,60,8,30,0,0,1,0
1,44,174,0,100,7,31,0,0,0,1
1,95,305,0,150,11,42,0,1,1,1
1,65,205,2,80,9,48,0,0,1,1
1,102,175,2,150,12,44,0,0,0,0
0,55,180,2,70,6,41,0,0,0,0
1,86,205,3,350,12,57,0,0,1,0
1,91,295,4,340,12,56,0,1,0,0
1,38,153,3,400,12,55,1,0,0,1
0,45,130,2,80,6,23,1,1,0,1
0,36,126,2,80,7,34,0,0,1,0
1,88,505,2,880,14,48,0,0,1,0
1,120,415,2,500,12,45,1,1,0,1
1,60,225,2,300,11,37,0,0,0,1
1,95,110,2,200,12,42,1,0,1,1
1,86,215,3,400,12,44,0,1,0,0
0,94,109,3,90,10,40,0,0,0,0
1,74,153,3,120,12,50,0,1,0,1
0,20,125,1,60,8,48,1,0,1,0
0,18,76,2,100,5,32,0,1,1,0
1,78,375,2,280,12,38,0,0,0,0
0,17,143,2,150,6,45,0,1,0,0
0,48,79,2,200,7,26,1,1,1,1
1,59,235,2,100,9,40,1,1,0,0
1,56,154,2,100,9,50,1,0,0,0
1,54,305,2,120,10,55,0,0,0,1
1,56,205,1,140,8,51,0,0,0,1
1,25,120,2,200,6,38,0,1,0,0
1,37,145,1,150,9,35,0,1,0,0
1,88,295,2,180,9,38,0,0,0,1
1,80,265,3,160,9,34,0,0,0,1
1,90,225,3,210,12,31,0,1,0,0
1,43,120,1,260,13,45,0,1,0,1
1,56,152,1,260,13,60,0,0,0,1
1,54,255,2,240,13,37,1,0,0,1
1,77,150,3,350,12,48,0,1,0,0
1,95,210,3,400,14,46,1,1,0,1
1,44,130,2,300,9,27,1,1,1,1
1,60,235,2,210,10,54,0,1,0,0
1,45,145,4,260,9,56,0,0,0,0
1,74,255,2,240,13,38,0,1,1,0
1,25,135,3,350,9,61,1,0,0,0
1,47,215,2,320,10,44,1,0,0,1
1,56,149,2,380,10,36,0,0,0,0
1,74,235,2,400,9,36,1,1,0,0
1,90,275,2,360,10,35,0,1,0,0
1,47,205,3,500,10,54,1,1,0,0
1,88,238,4,550,11,57,0,0,0,0
1,94,280,4,480,10,51,1,1,0,1
1,56,239,1,600,13,36,0,0,0,0
1,76,155,2,410,11,48,0,0,0,1
1,89,222,2,240,13,31,0,0,1,0
1,53,120,2,250,12,47,0,1,0,0
1,52,106,2,280,12,45,0,1,0,1
1,53,180,3,380,12,66,0,0,0,0
1,22,145,4,300,13,60,1,0,0,0
1,46,130,3,400,13,37,1,1,0,1
1,31,131,4,350,13,55,0,1,1,0
1,34,154,1,300,12,59,0,0,0,1
1,77,182,1,320,13,40,0,0,0,0
1,95,140,1,300,13,44,0,0,1,0
